Age,IQ,CGPA,Years_of_Experience,Package_LPA
53,88,5.38,9,28.1
25,133,7.74,14,41.37
59,159,9.02,9,34.36
48,130,6.77,5,22.71
27,95,5.57,8,25.79
29,91,9.77,4,24.23
28,99,7.56,9,30.22
32,132,5.45,5,19.69
54,110,7.49,14,41.01
53,100,5.22,8,25.2
43,82,5.28,7,23.73
44,100,6.59,14,40.23
57,107,8.39,2,18.95
55,84,8.53,5,25.03
42,150,9.51,11,39.02
47,148,5.54,12,34.59
55,152,7.32,3,19.39
21,126,7.38,6,25.36
55,99,7.3,12,36.41
57,117,9.21,11,38.28
34,116,9.06,7,29.54
23,137,7.54,7,26.61
21,96,8.89,4,23.34
25,121,5.3,12,34.33
46,111,7.66,12,37.97
34,141,5.47,8,26.43
59,100,9.33,13,42.04
47,112,7.52,0,13.42
29,146,5.09,2,14.52
35,85,7.75,2,17.26
35,145,8.69,11,37.09
46,111,5.67,8,26.0
33,143,6.41,0,11.46
52,105,7.24,0,12.75
59,141,7.07,10,33.36
52,84,7.51,9,31.86
24,90,5.08,7,23.36
50,153,8.69,5,25.2
57,158,6.58,11,34.36
43,128,8.51,12,38.5
59,157,9.28,13,43.13
35,141,8.44,10,35.47
49,139,8.36,4,23.13
56,156,7.9,3,20.57
33,81,5.01,6,20.46
52,138,9.52,0,16.41
27,155,9.17,3,22.06
42,104,5.97,0,10.75
48,147,5.9,4,19.05
22,121,5.18,6,21.18
26,155,6.9,5,22.71
48,150,9.93,14,45.49
48,134,5.49,10,29.7
40,117,7.83,3,19.48
50,122,6.32,5,21.93
31,149,9.31,13,41.57
48,132,7.54,5,23.11
45,100,9.27,1,18.49
59,99,9.65,3,23.8
53,98,8.17,3,20.71
21,112,6.41,13,37.02
47,142,7.24,5,23.29
33,147,8.16,9,33.17
23,139,8.25,11,35.43
59,98,5.34,4,18.56
26,107,6.75,12,36.26
28,101,7.66,11,35.28
47,130,6.68,0,11.73
29,142,7.89,6,26.04
57,141,5.88,2,16.23
53,108,5.17,10,30.11
44,153,6.71,2,16.36
35,111,7.84,2,18.4
52,152,5.06,0,10.05
52,104,8.06,0,13.78
44,95,6.77,7,26.31
32,94,9.97,13,42.3
59,138,8.91,0,14.94
22,127,6.46,3,17.22
23,97,9.86,14,44.15
57,102,6.39,11,34.41
37,134,5.54,3,15.98
22,121,5.13,10,29.92
22,82,8.92,10,34.74
48,150,6.6,3,17.62
43,131,9.92,10,36.49
57,90,8.09,0,14.62
52,134,5.82,4,18.86
53,104,6.68,8,27.83
21,155,7.56,1,15.07
39,120,8.61,7,29.35
22,116,7.96,0,13.34
46,134,6.3,3,17.71
52,88,7.38,6,25.07
26,115,6.08,7,23.97
52,136,6.75,13,38.94
24,142,6.43,6,23.38
31,99,9.49,14,44.68
37,126,8.94,8,31.55
58,99,7.66,9,31.8
44,85,5.87,1,12.57
25,152,7.97,7,27.14
54,108,6.77,8,28.22
26,156,5.19,13,35.78
42,128,8.45,3,20.5
31,85,6.28,4,18.89
36,118,6.17,8,26.8
53,111,8.32,10,34.54
29,128,9.36,6,27.96
26,122,6.41,14,39.65
36,107,8.89,2,19.22
49,124,9.43,12,40.46
23,144,6.05,11,33.6
40,129,9.59,2,20.78
56,133,6.42,14,39.77
39,130,6.09,14,39.03
46,122,6.8,0,11.39
23,143,6.14,9,29.74
39,109,7.86,4,21.48
40,121,7.36,0,12.61
52,117,8.35,11,36.48
27,145,8.62,10,35.27
53,148,5.41,12,34.73
59,94,5.77,2,14.11
38,140,8.95,1,16.86
21,85,5.33,9,27.95
31,157,8.29,4,22.24
48,103,8.32,11,36.27
45,93,8.69,13,41.13
43,91,6.09,5,20.3
51,134,5.76,4,18.63
50,147,7.25,12,36.89
55,123,5.21,11,32.69
27,130,9.21,14,43.72
36,159,8.73,9,33.39
46,117,9.42,2,19.82
22,120,5.35,7,24.91
21,123,9.6,7,29.68
32,154,8.78,9,32.68
25,95,5.56,2,13.52
57,129,5.52,2,14.43
52,117,9.5,12,40.36
29,84,7.33,4,20.85
55,88,9.99,12,41.85
39,156,8.18,2,19.35
36,118,8.44,8,29.54
23,106,7.34,2,16.56
40,111,7.18,4,20.8
44,143,9.01,5,25.79
53,112,7.24,8,29.19
44,97,7.49,14,41.7
31,155,6.95,8,28.53
28,146,5.98,9,28.56
56,84,9.24,4,23.84
58,157,6.1,4,18.5
40,138,6.51,8,28.48
55,155,7.96,7,28.35
45,83,6.63,7,26.12
55,95,6.77,5,22.22
45,154,5.02,6,21.92
49,127,9.01,13,42.09
38,145,7.47,12,37.8
38,156,5.98,2,14.96
22,87,8.56,11,35.99
55,123,8.28,7,28.76
36,100,6.88,7,26.36
56,105,7.89,7,27.78
53,114,8.33,11,36.28
24,94,5.31,14,38.56
53,119,7.09,12,36.56
34,109,7.62,0,13.12
41,145,8.62,14,43.61
40,159,6.91,8,28.77
28,92,5.85,3,15.6
27,80,5.45,3,16.22
23,122,9.05,12,39.62
37,107,7.4,1,15.69
53,80,6.15,8,26.41
32,119,9.02,5,25.09
42,113,9.06,4,24.17
42,92,8.26,2,17.29
50,140,5.6,14,38.31
58,145,6.52,6,25.41
58,83,9.41,8,32.18
28,92,5.61,4,17.89
47,115,8.5,0,14.45
47,140,6.28,14,40.43
54,137,5.17,14,38.63
41,94,8.45,9,32.5
50,91,6.32,9,30.18
53,155,8.72,6,26.96
48,148,6.83,8,28.84
53,140,6.1,0,11.26
25,121,9.55,2,21.19
39,111,6.78,2,16.15
24,81,9.57,12,38.87
55,87,9.81,2,20.54
37,133,7.03,4,20.07
48,87,8.59,12,39.02
50,92,6.98,10,32.68
49,108,8.28,8,30.05
26,92,8.86,11,36.59
55,137,8.19,12,38.31
57,142,6.45,10,32.35
44,126,6.54,2,15.56
49,158,9.31,0,16.44
51,153,7.82,8,30.45
55,117,9.51,9,34.59
53,148,7.09,9,31.0
41,148,6.32,14,39.96
52,119,8.04,14,41.26
43,80,9.45,2,19.73
53,81,7.51,10,32.78
23,108,6.39,13,36.91
38,86,6.11,3,17.17
45,136,7.25,5,23.76
51,134,9.27,6,28.67
23,152,6.43,5,22.11
44,115,7.77,11,35.29
52,86,5.87,0,9.68
42,89,8.72,2,18.97
43,159,7.3,2,17.03
22,153,6.19,10,30.83
47,118,8.77,3,20.85
22,137,8.64,4,22.08
46,119,5.17,4,18.16
37,93,7.21,9,30.89
53,80,7.97,4,21.04
29,96,6.28,13,37.49
59,128,5.28,1,12.21
49,95,6.42,12,35.93
46,86,9.34,9,33.23
55,94,6.7,8,28.94
45,100,8.93,8,30.85
44,145,8.51,11,36.9
33,138,9.79,3,22.57
27,127,9.36,2,19.71
56,152,9.71,5,27.46
40,129,5.12,0,8.78
21,89,6.49,3,16.75
28,131,9.36,1,18.3
36,147,6.86,8,28.22
34,109,5.26,6,20.83
32,113,9.64,8,31.79
43,157,7.26,6,25.93
35,144,5.26,1,12.05
48,139,6.42,1,13.96
54,87,9.28,7,29.27
22,154,8.95,8,31.86
52,144,9.99,5,27.69
43,148,7.2,13,38.97
42,136,6.51,2,16.39
45,124,5.67,14,38.09
42,128,6.49,8,28.24
42,153,6.0,6,23.12
26,141,8.34,0,14.37
35,118,8.83,14,42.51
57,156,9.02,10,36.08
53,100,8.76,8,30.58
28,132,7.45,1,14.72
25,124,6.96,4,19.65
59,107,5.5,6,23.06
24,132,7.89,9,31.62
26,88,7.26,10,32.39
52,154,6.22,2,15.89
50,150,9.01,10,36.08
55,140,8.56,8,31.12
36,106,7.84,13,40.3
33,101,6.0,2,14.02
50,109,7.85,1,15.96
39,94,6.02,9,28.95
37,94,8.66,10,34.37
39,132,5.86,12,35.25
48,155,8.7,14,43.39
46,102,7.7,2,16.59
57,149,9.88,9,35.43
46,95,7.33,5,22.64
43,144,6.2,0,11.25
29,124,9.2,3,22.32
32,86,7.9,3,18.72
21,124,7.68,4,21.53
21,118,5.53,9,28.86
54,129,6.9,10,33.99
52,128,5.02,1,12.89
45,127,6.08,0,11.09
21,128,7.63,11,35.22
36,119,7.37,13,38.61
59,118,7.84,13,40.72
25,136,9.34,13,42.73
42,142,6.3,8,27.3
49,135,8.39,1,17.56
23,81,7.76,11,35.38
32,105,9.1,7,29.94
46,102,6.34,2,15.43
36,97,9.95,7,29.99
57,147,8.32,1,17.06
42,139,5.2,2,14.71
49,81,5.02,3,15.58
34,128,9.34,9,33.97
48,117,6.31,11,34.0
25,110,6.19,11,32.39
50,119,7.75,9,31.98
25,159,5.85,12,34.91
32,132,6.44,8,27.15
36,143,7.58,2,17.6
46,112,9.91,3,22.52
46,137,5.77,3,16.17
41,129,5.21,9,28.45
59,143,8.54,2,19.0
56,82,8.08,8,30.01
53,140,6.57,12,36.96
50,89,6.4,11,32.62
57,145,9.34,9,35.39
43,130,6.61,11,33.56
30,109,7.96,3,19.36
25,104,7.13,7,26.65
56,122,7.64,4,21.65
54,143,9.44,14,44.48
51,138,7.24,5,23.94
30,141,9.13,2,19.96
39,89,8.01,12,37.91
52,143,6.82,12,36.67
21,139,5.12,8,25.54
25,99,8.34,3,19.23
24,128,8.48,12,38.46
36,153,9.96,13,43.86
44,106,8.56,13,40.09
36,130,9.1,13,42.03
22,136,5.84,5,20.6
48,158,8.81,11,37.28
52,158,6.76,14,39.72
47,116,9.9,5,27.42
40,82,7.26,7,27.0
44,108,7.32,10,32.11
32,147,7.49,9,31.18
55,126,6.54,13,38.52
53,159,6.9,11,35.76
53,148,6.96,7,27.66
57,100,7.56,10,33.38
32,121,5.71,10,30.6
23,100,7.99,11,35.49
21,81,7.7,5,22.87
53,157,9.91,13,44.12
30,148,9.37,13,42.3
49,86,7.31,0,13.9
33,154,8.49,7,29.92
32,114,8.28,6,25.92
51,109,6.17,4,18.99
22,123,6.66,12,35.19
55,125,5.17,12,34.31
43,134,5.48,7,23.75
37,80,6.55,5,21.08
46,133,8.89,0,15.27
28,159,8.58,3,22.27
49,80,9.82,12,40.23
46,142,6.83,3,17.64
30,134,6.71,0,11.98
46,156,5.51,9,28.31
54,106,8.94,0,15.83
27,94,5.83,5,20.15
24,88,9.77,0,16.11
31,148,6.58,7,25.16
49,138,8.24,10,34.59
56,102,7.25,1,15.61
45,90,6.12,2,14.75
41,103,7.28,2,16.8
56,151,6.63,3,18.75
30,133,8.13,12,37.81
57,110,7.76,7,27.29
29,101,5.41,12,34.98
44,93,5.36,2,14.17
55,84,9.83,0,16.62
55,96,6.51,11,34.49
56,150,5.45,2,14.91
38,123,5.91,11,33.23
59,158,5.77,8,27.72
52,128,6.05,8,27.89
44,144,5.23,8,25.62
43,83,5.99,3,16.61
52,88,9.71,9,34.95
57,115,7.86,8,30.08
32,130,6.63,1,13.43
33,111,8.95,5,25.08
43,97,9.48,2,20.07
45,94,5.35,1,11.1
55,99,6.72,7,26.96
50,137,9.09,7,29.4
37,119,8.04,3,20.58
40,145,8.41,13,41.66
45,92,7.8,6,25.11
42,92,5.41,13,36.27
33,141,9.25,9,34.29
39,107,6.19,6,23.1
56,125,5.52,3,17.37
32,94,6.7,4,19.95
39,123,8.73,8,31.32
32,102,9.4,1,18.6
29,146,8.25,14,42.8
27,157,6.79,0,12.31
48,145,8.64,13,40.82
34,129,8.83,10,35.21
51,92,9.62,1,17.62
39,81,5.59,12,34.61
36,155,5.7,13,36.75
25,113,7.18,2,16.21
55,119,6.7,5,22.82
32,148,8.86,4,23.35
45,140,7.94,2,19.02
41,104,5.48,3,15.76
56,154,7.67,5,23.97
43,156,6.43,3,18.41
36,142,7.04,5,23.92
59,107,5.41,3,16.48
59,135,5.18,8,25.75
34,105,9.83,3,21.36
51,106,8.71,0,15.6
25,105,8.27,1,15.61
55,94,8.38,14,42.74
43,129,8.19,2,17.74
49,85,6.9,12,37.14
31,147,7.49,10,32.54
38,83,9.63,10,34.98
32,109,6.85,1,14.4
29,156,5.96,5,20.22
30,88,5.27,5,19.79
37,121,6.3,11,33.46
58,93,5.66,8,25.51
27,119,8.25,10,34.75
33,82,6.18,10,30.6
29,120,6.66,2,15.51
47,112,5.48,13,36.4
22,158,7.18,14,40.78
25,139,9.77,13,42.31
49,143,7.19,4,20.63
57,141,8.76,0,15.5
58,158,7.85,2,17.97
39,86,6.59,4,19.26
28,155,9.71,6,29.0
21,129,7.59,9,30.5
42,118,8.86,11,37.15
37,150,5.61,1,12.63
27,126,6.13,8,26.87
45,149,7.27,10,32.99
24,105,8.85,10,34.95
56,137,9.08,12,40.52
26,152,9.89,2,22.03
51,130,9.75,7,31.31
39,131,7.11,10,32.01
59,95,7.66,14,41.94
47,127,5.13,2,13.43
30,106,7.45,14,40.91
46,112,5.18,11,31.71
39,102,5.07,11,31.2
59,124,7.78,5,24.53
23,101,9.49,6,27.36
33,121,9.82,0,17.45
48,112,8.67,0,14.78
40,89,8.74,5,25.32
48,126,7.21,3,19.24
28,158,7.83,14,42.43
59,118,7.92,6,26.17
21,125,5.35,11,32.1
23,151,5.23,1,12.12
33,130,5.73,0,10.16
48,104,8.97,4,23.01
45,94,7.81,3,19.82
53,137,7.96,13,40.57
58,138,6.75,6,24.36
26,105,9.34,11,37.87
52,120,9.82,7,30.61
41,123,6.07,10,31.46
36,101,6.57,0,11.25
41,116,6.64,11,33.56
31,93,9.81,7,30.22
57,83,7.59,13,39.25
56,103,7.84,8,29.63
55,145,6.84,13,39.11
39,142,9.5,6,28.84
40,144,5.95,10,30.71
38,145,7.29,5,22.82
34,92,6.13,8,27.56
35,106,7.93,0,13.45
51,96,7.74,0,14.11
21,148,5.66,0,10.03
23,136,9.15,12,39.16
36,151,5.61,13,36.29
43,152,5.88,0,10.93
31,97,6.35,4,19.48
32,95,9.07,11,36.83
30,130,6.02,6,22.85
52,119,6.1,6,22.82
36,118,8.26,7,28.16
28,135,9.15,11,37.09
58,133,8.5,12,39.01
32,123,7.69,6,24.97
44,125,8.25,3,20.61
48,111,7.74,1,15.53
28,127,6.78,5,22.12
48,140,8.45,10,35.83
56,145,8.44,10,35.06
46,117,8.16,10,34.22
28,122,8.18,10,34.22
48,83,6.18,11,33.7
48,84,9.64,10,36.18
57,137,9.96,0,16.04
56,116,7.78,4,21.35
47,105,6.12,11,32.05
37,88,6.59,6,23.78
29,94,8.7,6,26.07
53,105,6.36,13,37.21
40,142,8.04,6,25.7
33,149,5.51,2,14.59
48,106,9.84,11,38.78
49,133,9.21,2,19.5
33,110,9.11,13,41.33
55,111,8.88,1,16.97
26,81,5.0,7,23.14
38,97,5.34,14,37.91
25,107,7.95,9,31.78
45,150,8.84,11,37.6
22,104,8.78,1,16.53
30,118,7.65,8,29.63
50,128,7.6,8,29.48
25,83,5.44,4,17.61
53,131,9.64,5,26.94
21,147,6.56,1,13.75
38,136,6.05,6,22.83
52,92,7.98,11,34.57
31,144,5.12,6,22.8
41,142,9.81,11,39.12
46,150,6.83,9,30.53
45,104,6.48,4,19.58
42,102,5.76,10,29.99
47,109,7.54,5,22.61
33,140,6.95,10,32.77
53,86,6.53,10,32.19
54,133,5.66,12,34.45
55,96,6.63,1,14.31
21,139,9.1,3,21.92
41,145,8.97,14,43.78
26,117,7.86,12,36.59
48,92,8.76,6,26.57
37,131,8.06,12,37.95
25,131,5.58,5,19.82
51,111,9.63,6,29.0
25,88,7.5,8,29.33
58,96,8.7,8,31.64
23,119,9.38,1,18.45
43,154,9.4,11,38.11
57,133,9.67,2,21.38
57,133,8.24,2,19.18
30,107,8.17,2,17.85
30,151,6.2,10,32.08
39,129,6.57,7,25.32
37,97,8.02,1,14.98
41,92,6.25,9,28.16
34,112,6.79,8,27.78
29,94,5.83,2,14.58
21,117,8.75,10,34.35
33,85,8.16,11,35.39
24,124,8.62,2,18.45
21,138,7.22,13,37.88
52,157,8.68,1,17.53
54,127,7.33,8,30.51
48,120,7.66,4,21.04
51,158,5.64,14,39.31
28,153,5.18,13,36.13
59,134,8.73,10,35.5
46,140,9.45,7,30.65
54,81,6.8,2,16.27
23,81,9.23,6,26.92
32,155,6.38,4,19.76
21,89,8.66,13,40.83
25,155,7.91,13,40.22
50,118,5.17,12,33.5
50,81,6.21,11,33.29
37,144,8.14,5,24.0
43,145,6.04,1,13.11
35,131,7.95,2,19.06
57,123,8.53,4,23.93
41,113,6.73,8,28.58
34,152,8.46,4,22.47
22,124,8.21,6,26.07
31,111,9.94,13,42.42
59,84,8.07,14,42.71
58,157,6.38,4,20.26
54,142,6.24,14,39.86
58,148,8.3,1,17.93
54,133,5.52,2,14.54
38,117,6.13,6,22.16
50,88,5.04,5,19.65
35,140,7.56,14,41.79
47,100,8.93,4,23.72
54,115,7.55,4,21.75
58,80,6.43,10,32.23
53,101,9.19,9,34.24
44,94,7.42,10,33.23
35,125,8.45,14,42.41
50,144,9.93,9,34.07
37,85,9.07,11,37.07
25,119,9.25,2,20.73
49,114,5.6,3,16.41
24,140,7.7,1,15.61
30,102,9.99,4,24.26
37,99,6.62,8,28.09
30,107,5.21,1,11.45
37,116,5.17,4,18.02
40,86,9.89,0,16.78
44,128,7.17,14,40.79
25,103,6.42,3,17.45
54,159,7.57,4,22.46
26,92,8.05,6,24.5
22,86,9.4,10,35.36
33,94,7.21,10,32.98
31,102,9.27,10,35.49
43,148,6.3,12,37.2
36,139,7.74,1,15.33
51,89,8.91,5,25.59
31,130,7.21,3,18.71
36,143,6.39,12,34.91
28,150,9.05,14,43.95
24,135,9.04,8,31.59
24,111,6.41,5,21.13
45,102,8.02,6,26.55
23,133,6.23,4,18.4
52,152,9.48,12,40.5
23,149,5.38,6,21.78
47,140,6.91,7,26.67
49,158,8.25,13,41.47
52,99,9.3,11,38.11
39,132,8.98,1,18.33
41,94,8.42,7,27.68
25,108,9.63,14,43.48
38,149,5.12,1,11.03
48,159,9.9,7,31.9
42,144,6.73,9,29.26
41,141,8.74,1,16.68
26,149,6.4,3,17.54
21,95,7.07,6,22.73
25,133,9.38,8,31.98
32,86,7.24,12,36.96
46,139,9.42,6,28.2
54,89,7.75,7,27.84
34,132,6.32,2,16.37
46,87,7.43,1,15.13
47,116,5.44,3,16.85
29,83,7.39,4,20.26
46,102,8.94,1,17.14
42,88,5.34,5,19.93
50,117,6.17,1,13.65
37,124,7.11,6,24.97
46,124,8.79,13,41.85
56,97,8.76,6,27.77
21,125,9.44,13,42.63
28,81,5.73,13,36.88
55,127,5.78,4,18.92
35,96,8.34,7,28.26
42,95,5.9,11,32.79
34,124,7.07,1,15.04
46,127,7.7,7,27.77
48,103,6.28,8,27.0
43,144,8.46,4,23.19
34,112,9.29,4,24.85
44,83,5.06,3,14.67
22,80,6.45,3,16.92
46,112,8.56,13,41.17
34,153,6.38,9,29.34
27,141,7.61,14,42.02
23,82,8.78,12,38.01
43,124,6.72,4,20.39
38,100,8.94,4,22.87
58,143,9.08,4,24.49
55,152,9.96,3,23.48
35,136,7.16,3,18.53
45,119,7.38,6,25.69
57,141,8.91,14,44.41
48,122,9.34,14,44.01
30,125,7.53,14,42.05
59,151,5.11,3,16.42
37,103,7.29,13,39.24
59,103,6.13,4,19.06
42,89,5.48,7,23.66
46,147,6.7,12,36.09
45,136,6.96,13,38.9
37,123,9.91,5,26.52
33,152,7.28,12,37.11
40,154,9.84,0,16.46
45,127,8.66,3,21.17
24,156,6.27,7,25.76
30,106,8.51,5,23.74
23,109,7.01,6,25.03
38,125,7.9,3,19.6
56,91,7.6,10,33.69
42,139,9.66,2,19.63
54,98,5.65,3,16.65
28,147,7.22,2,16.79
39,133,5.41,0,10.8
57,113,6.27,13,37.85
26,86,5.38,1,11.33
46,121,9.69,3,23.28
54,147,6.57,13,38.48
26,132,8.91,5,25.43
57,87,8.74,12,39.06
53,101,5.7,14,38.74
42,105,5.71,5,20.5
41,156,6.89,8,29.05
26,142,7.84,2,16.93
26,125,7.13,0,12.69
24,123,8.84,5,24.64
50,141,7.68,0,14.12
31,115,9.41,11,36.77
50,120,7.96,8,29.78
51,158,7.96,7,28.5
44,106,8.3,0,14.22
29,149,8.02,14,41.23
23,120,8.06,10,33.78
51,84,7.25,0,12.52
57,136,5.45,7,24.26
56,155,6.84,1,15.26
44,108,8.84,1,15.88
51,91,5.19,0,9.33
26,104,8.45,10,34.84
22,113,9.9,2,19.93
40,154,7.18,5,22.72
48,103,6.06,3,17.51
31,142,5.12,5,19.71
24,142,9.27,1,17.94
35,89,5.74,4,18.34
26,84,5.22,13,35.78
50,132,7.43,12,37.53
58,107,6.91,14,40.79
22,144,9.8,9,35.11
35,124,7.31,1,15.6
31,145,9.18,2,20.03
28,128,9.66,1,17.77
46,119,5.92,6,23.77
25,145,6.73,5,21.71
26,87,9.62,2,20.43
46,106,7.78,5,23.26
24,96,6.61,2,16.41
39,147,7.6,12,37.9
40,123,8.66,6,27.66
53,110,8.09,3,20.11
40,84,9.67,6,28.19
32,139,9.81,9,35.26
21,98,8.56,3,21.08
46,121,8.32,8,30.43
34,102,5.07,4,17.43
58,156,8.92,9,33.63
57,96,7.5,7,27.82
31,137,9.37,13,42.15
56,128,9.67,7,30.97
33,82,6.85,6,22.83
23,156,9.53,9,34.66
53,124,8.3,3,20.41
26,114,7.14,8,27.79
30,81,5.25,10,29.25
25,126,8.71,11,37.08
43,82,9.47,4,23.58
30,108,7.91,0,13.52
22,153,7.01,14,40.05
33,99,7.26,14,40.68
22,113,8.54,3,20.3
40,158,5.99,9,29.05
21,119,6.02,3,16.39
57,144,6.74,4,21.66
29,142,5.15,4,17.45
37,135,8.34,12,39.12
29,111,7.24,3,19.23
31,145,9.47,14,44.63
35,120,8.24,12,38.4
44,108,8.52,7,28.31
58,130,8.36,14,42.77
55,91,7.09,5,22.9
50,123,9.66,2,19.81
51,89,9.57,12,40.63
25,153,7.41,8,29.69
34,88,8.9,9,33.42
31,108,9.93,11,38.68
29,108,6.66,14,39.3
54,140,8.12,11,36.97
32,143,7.85,12,37.39
55,82,7.7,11,35.91
55,83,9.67,3,22.53
21,134,5.63,0,9.9
42,93,7.58,3,19.81
49,156,5.13,9,28.56
28,107,6.54,6,23.72
31,142,8.38,3,20.82
57,118,8.9,8,31.65
34,143,9.27,5,26.05
50,139,5.38,10,30.57
55,99,5.92,2,14.31
41,107,7.01,11,34.21
57,93,6.91,0,12.38
25,156,6.27,7,25.19
39,154,9.68,2,21.16
34,137,7.67,14,42.31
46,118,8.29,8,30.4
24,137,8.75,10,35.14
45,94,7.72,5,23.45
45,152,9.17,8,32.33
38,82,9.92,11,38.62
28,84,6.96,10,32.16
59,121,8.22,12,39.11
34,94,6.58,3,18.21
52,82,5.35,3,16.1
58,114,5.14,0,9.37
53,86,6.16,3,18.14
43,103,5.81,10,31.89
35,110,8.61,3,21.51
53,157,7.32,11,35.6
45,159,7.7,14,42.21
37,83,5.41,13,35.93
53,82,5.1,0,10.24
22,88,7.18,3,18.6
34,147,6.28,1,13.53
59,139,8.11,1,17.21
26,90,7.56,2,16.98
26,158,9.14,0,15.94
23,115,9.19,10,35.66
27,151,7.69,11,35.79
28,81,9.53,8,31.49
35,129,9.66,4,24.17
49,82,6.22,0,11.08
53,146,9.89,11,39.85
50,141,9.93,1,19.66
59,155,5.32,3,17.27
47,93,5.01,9,27.27
56,102,5.29,0,9.82
49,156,6.75,3,18.84
58,95,9.04,2,20.0
53,97,7.52,0,13.23
57,92,6.48,11,33.6
47,135,5.28,14,38.37
53,124,6.98,5,22.06
24,119,5.18,8,24.67
42,110,5.86,8,26.7
22,111,9.39,5,26.0
30,80,8.81,11,35.99
25,114,9.98,5,26.63
30,115,9.47,8,31.5
53,145,9.28,12,39.94
58,108,5.87,7,24.88
33,122,8.24,3,20.8
51,108,8.0,12,38.55
56,122,9.59,7,29.7
44,98,8.91,9,32.15
35,143,8.87,0,15.85
49,110,6.62,9,31.04
28,98,5.62,1,11.75
25,108,6.85,9,29.67
49,152,6.04,6,23.96
24,86,8.64,8,30.46
32,137,7.3,6,25.4
22,155,6.16,9,29.27
47,139,8.29,13,41.11
51,130,5.35,6,22.27
56,129,9.59,13,42.88
56,100,7.89,1,15.4
46,88,7.3,5,23.44
47,113,6.25,11,33.88
25,113,7.74,9,30.96
40,126,6.44,13,37.61
31,103,6.97,7,26.07
30,159,9.44,10,36.18
58,107,5.97,0,10.51
26,125,6.74,11,33.98
28,130,8.28,12,37.56
43,85,8.62,6,27.13
46,142,5.57,2,15.33
32,132,9.68,13,42.47
46,143,5.14,5,20.01
33,131,5.33,4,17.23
38,139,8.81,2,19.2
45,120,8.86,11,36.64
53,90,8.33,7,28.75
32,83,7.61,7,26.52
56,93,6.44,2,15.61
24,92,9.2,0,14.7
25,94,8.49,6,26.36
57,87,9.84,8,32.8
28,90,7.27,0,11.45
48,102,7.35,2,15.79
51,86,8.96,3,21.16
29,148,9.97,5,27.17
49,111,9.48,9,34.26
34,123,6.49,11,33.83
42,82,9.77,11,39.12
31,123,5.99,7,24.69
43,148,7.11,12,37.66
21,130,9.43,5,25.59
57,140,6.57,11,34.2
41,130,6.76,9,30.07
46,112,9.97,2,20.49
56,99,7.26,2,17.43
43,109,9.74,1,19.04
21,123,6.37,10,30.17
35,108,7.5,8,28.56
41,100,6.91,10,32.81
29,132,7.82,8,29.41
29,90,9.49,1,17.81
30,89,9.95,9,34.2
46,114,7.51,14,40.79
55,105,5.88,7,24.94
45,123,5.25,11,31.13
46,83,5.8,10,30.2
31,153,8.73,6,27.72
58,136,7.97,12,38.42
